date,exchange_rate
8/9/2022 00:00,480.125
8/8/2022 00:00,478.65
8/7/2022 00:00,478.65
8/6/2022 00:00,478.65
8/5/2022 00:00,479.36
8/4/2022 00:00,477.77
8/3/2022 00:00,477.96
8/2/2022 00:00,480.36
8/1/2022 00:00,480.36
7/31/2022 00:00,480.36
7/30/2022 00:00,480.46
7/29/2022 00:00,481.125
7/28/2022 00:00,480.975
7/27/2022 00:00,481.06
7/26/2022 00:00,481.75
7/25/2022 00:00,482.365
7/24/2022 00:00,482.365
7/23/2022 00:00,482.365
7/22/2022 00:00,485.25
7/21/2022 00:00,482.865
7/20/2022 00:00,482.75
7/19/2022 00:00,486.365
7/18/2022 00:00,486.73
7/17/2022 00:00,486.73
7/16/2022 00:00,486.73
7/15/2022 00:00,482.575
7/14/2022 00:00,481.1
7/13/2022 00:00,476.975
7/12/2022 00:00,475.86
7/11/2022 00:00,473.36
7/10/2022 00:00,473.36
7/9/2022 00:00,473.36
7/8/2022 00:00,479.61
7/7/2022 00:00,484.115
7/6/2022 00:00,484.115
7/5/2022 00:00,475.86
7/4/2022 00:00,467.86
7/3/2022 00:00,467.86
7/2/2022 00:00,467.86
7/1/2022 00:00,470.725
6/30/2022 00:00,473.36
6/29/2022 00:00,471.06
6/28/2022 00:00,462.25
6/27/2022 00:00,467.26
6/26/2022 00:00,467.26
6/25/2022 00:00,467.26
6/24/2022 00:00,474.36
6/23/2022 00:00,467.86
6/22/2022 00:00,455.86
6/21/2022 00:00,450.355
6/20/2022 00:00,446.955
6/19/2022 00:00,446.955
6/18/2022 00:00,446.955
6/17/2022 00:00,449.155
6/16/2022 00:00,444.65
6/15/2022 00:00,440.065
6/14/2022 00:00,437.975
6/13/2022 00:00,438.015
6/12/2022 00:00,438.015
6/11/2022 00:00,438.015
6/10/2022 00:00,436.925
6/9/2022 00:00,438.25
6/8/2022 00:00,435.665
6/7/2022 00:00,432.35
6/6/2022 00:00,434.35
6/5/2022 00:00,434.35
6/4/2022 00:00,434.35
6/3/2022 00:00,435.85
6/2/2022 00:00,436.415
6/1/2022 00:00,433.15
5/31/2022 00:00,426.75
5/30/2022 00:00,435.05
5/29/2022 00:00,435.05
5/28/2022 00:00,435.05
5/27/2022 00:00,435.65
5/26/2022 00:00,425.475
5/25/2022 00:00,416.75
5/24/2022 00:00,421.25
5/23/2022 00:00,428.25
5/22/2022 00:00,428.25
5/21/2022 00:00,428.25
5/20/2022 00:00,429.625
5/19/2022 00:00,433.45
5/18/2022 00:00,434.26
5/17/2022 00:00,434.915
5/16/2022 00:00,432.75
5/15/2022 00:00,432.75
5/14/2022 00:00,432.75
5/13/2022 00:00,433.85
5/12/2022 00:00,440.85
5/11/2022 00:00,445.35
5/10/2022 00:00,445.35
5/9/2022 00:00,445.35
5/8/2022 00:00,445.35
5/7/2022 00:00,445.35
5/6/2022 00:00,439.815
5/5/2022 00:00,438.15
5/4/2022 00:00,440.35
5/3/2022 00:00,443.35
5/2/2022 00:00,443.351
5/1/2022 00:00,443.352
4/30/2022 00:00,443.353
4/29/2022 00:00,449.255
4/28/2022 00:00,450.855
4/27/2022 00:00,454.06
4/26/2022 00:00,454.56
4/25/2022 00:00,450.355
4/24/2022 00:00,450.355
4/23/2022 00:00,450.355
4/22/2022 00:00,445.65
4/21/2022 00:00,445.35
4/20/2022 00:00,446.155
4/19/2022 00:00,446.955
4/18/2022 00:00,455.66
4/17/2022 00:00,455.66
4/16/2022 00:00,455.66
4/15/2022 00:00,456.36
4/14/2022 00:00,454.06
4/13/2022 00:00,453.36
4/12/2022 00:00,453.16
4/11/2022 00:00,454.36
4/10/2022 00:00,454.36
4/9/2022 00:00,454.36
4/8/2022 00:00,455.26
4/7/2022 00:00,465.795
4/6/2022 00:00,467.86
4/5/2022 00:00,473.06
4/4/2022 00:00,476.86
4/3/2022 00:00,476.86
4/2/2022 00:00,476.86
4/1/2022 00:00,476.11
3/31/2022 00:00,472.095
3/30/2022 00:00,466.91
3/29/2022 00:00,481.865
3/28/2022 00:00,493.165
3/27/2022 00:00,493.165
3/26/2022 00:00,493.165
3/25/2022 00:00,496.165
3/24/2022 00:00,508.77
3/23/2022 00:00,508.771
3/22/2022 00:00,508.772
3/21/2022 00:00,508.773
3/20/2022 00:00,508.774
3/19/2022 00:00,508.775
3/18/2022 00:00,509.035
3/17/2022 00:00,509.82
3/16/2022 00:00,515.42
3/15/2022 00:00,518.725
3/14/2022 00:00,525.125
3/13/2022 00:00,525.126
3/12/2022 00:00,525.127
3/11/2022 00:00,527.125
3/10/2022 00:00,521.29
3/9/2022 00:00,521.29
3/8/2022 00:00,521.29
3/7/2022 00:00,513.92
3/6/2022 00:00,513.92
3/5/2022 00:00,513.92
3/4/2022 00:00,511.12
3/3/2022 00:00,499.415
3/2/2022 00:00,497.115
3/1/2022 00:00,498.615
2/28/2022 00:00,502.615
2/27/2022 00:00,502.615
2/26/2022 00:00,502.615
2/25/2022 00:00,476.11
2/24/2022 00:00,470.11
2/23/2022 00:00,438.35
2/22/2022 00:00,438.265
2/21/2022 00:00,430.6
2/20/2022 00:00,430.601
2/19/2022 00:00,430.602
2/18/2022 00:00,429.7
2/17/2022 00:00,429.815
2/16/2022 00:00,429.55
2/15/2022 00:00,431.6
2/14/2022 00:00,432.35
2/13/2022 00:00,432.35
2/12/2022 00:00,432.35
2/11/2022 00:00,430.3
